BezirkName,BezirkNummer,Gesamt,"0 - 9","10 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80 - 89","90 u. mehr"
Aegidii,11,1450,83,73,402,232,162,137,98,144,80,39
Überwasser,12,1354,35,77,601,213,128,89,77,73,48,13
Dom,13,2199,74,82,737,409,231,192,148,189,120,17
Buddenturm,14,2432,81,103,890,343,253,186,131,155,184,106
Martini,15,1384,47,74,497,229,141,146,85,103,54,8
Altstadt,,8819,320,409,3127,1426,915,750,539,664,486,183
Pluggendorf,21,4522,167,223,1701,841,378,352,200,297,270,93
Josef,22,8688,392,375,3082,1739,952,845,513,473,262,55
Bahnhof,23,1251,45,36,612,243,108,91,45,38,28,5
Hansaplatz,24,6932,336,275,2393,1579,807,704,398,257,163,20
Mauritz-West,25,6260,396,331,1798,1259,846,705,425,324,145,31
Schlachthof,26,5284,410,407,962,868,785,693,486,440,196,37
Kreuz,27,12524,785,733,3282,2162,1589,1525,1134,817,383,114
Neutor,28,4338,187,296,1984,669,351,331,248,174,74,24
Schloss,29,2210,132,114,531,344,217,273,183,211,151,54
Innenstadtring,,52009,2850,2790,16345,9704,6033,5519,3632,3031,1672,433
Aaseestadt,31,5479,418,430,931,730,675,750,562,590,333,60
Geist,32,8976,684,650,1832,1467,1232,1218,829,622,347,95
Schützenhof,33,7688,482,406,2290,1624,916,822,467,420,203,58
Düesberg,34,7036,570,682,961,847,1080,1037,687,647,431,94
Mitte-Süd,,29179,2154,2168,6014,4668,3903,3827,2545,2279,1314,307
Hafen,43,1045,49,23,410,246,122,74,45,43,25,8
Herz-Jesu,44,5202,301,285,1188,886,611,584,346,470,388,143
Mauritz-Mitte,45,10220,681,721,1841,1665,1386,1519,886,866,550,105
Rumphorst,46,8099,669,880,1306,979,1131,1319,677,678,384,76
Uppenberg,47,8605,755,643,2023,1376,1174,1088,686,532,268,60
Mitte-Nordost,,33171,2455,2552,6768,5152,4424,4584,2640,2589,1615,392
Mitte,,123178,7779,7919,32254,20950,15275,14680,9356,8563,5087,1315
Gievenbeck,51,21155,2145,2486,5899,2872,2664,2177,1370,913,516,113
Sentrup,52,7631,532,743,2949,860,707,707,435,369,243,86
Mecklenbeck,54,9250,643,1133,1505,819,1363,1563,921,812,424,67
Albachten,56,6244,762,805,570,781,1013,935,592,514,235,37
Roxel,57,9082,986,956,1174,1190,1424,1230,904,815,351,52
Nienberge,58,6769,593,646,954,800,899,960,751,805,324,37
West,,60131,5661,6769,13051,7322,8070,7572,4973,4228,2093,392
Coerde,61,10555,1382,1257,1382,1310,1388,1526,918,868,449,75
Kinderhaus-Ost,62,4998,476,463,704,636,672,784,546,466,222,29
Kinderhaus-West,63,10513,1148,1122,1459,1138,1255,1573,1239,1058,454,67
Sprakel,68,3102,312,363,285,333,491,496,323,323,156,20
Nord,,29168,3318,3205,3830,3417,3806,4379,3026,2715,1281,191
Mauritz-Ost,71,10317,889,930,1121,1304,1623,1626,1063,1068,603,90
Gelmer-Dyckburg,76,3692,384,404,338,389,609,600,438,357,151,22
Handorf,77,8017,886,909,692,838,1263,1221,785,945,395,83
Ost,,22026,2159,2243,2151,2531,3495,3447,2286,2370,1149,195
Gremmendorf-West,81,4932,445,593,707,563,793,827,435,354,181,34
Gremmendorf-Ost,82,6522,610,769,724,762,1087,1072,623,537,291,47
Angelmodde,86,7930,824,846,943,975,1088,1196,846,787,365,60
Wolbeck,87,8981,846,952,824,977,1347,1456,1038,1070,402,69
Südost,,28365,2725,3160,3198,3277,4315,4551,2942,2748,1239,210
"Berg Fidel",91,5640,575,634,775,738,710,789,513,523,307,76
Hiltrup-Ost,95,6350,450,636,584,599,860,1071,893,895,325,37
Hiltrup-Mitte,96,9881,745,888,1224,1189,1433,1428,1058,1166,620,130
Hiltrup-West,97,9284,882,1113,1007,1072,1471,1635,1069,779,230,26
Amelsbüren,98,6244,697,804,540,778,1099,866,581,588,251,40
Hiltrup,,37399,3349,4075,4130,4376,5573,5789,4114,3951,1733,309
"Stadt Münster",,300267,24991,27371,58614,41873,40534,40418,26697,24575,12582,2612
